N,P,K,temperature,humidity,ph,rainfall,label
98,18,42,29.72,83.7,7.21,32.51,Muskmelon
13,61,19,24.62,58.04,5.51,193.3,Pigeonpeas
91,46,17,20.87,53.2,7.53,68.45,Maize
86,42,41,20.38,76.37,6.21,234.66,Rice
91,44,47,24.61,85.89,6.69,187.73,Jute
21,71,20,27.73,47.83,6.38,186.14,Pigeonpeas
100,17,44,26.08,89.03,6.31,34.76,Muskmelon
22,21,11,25.99,93.73,6.68,104.45,Orange
87,18,55,29.17,92.17,6.54,24.86,Muskmelon
17,73,15,25.79,58.58,5.55,145.28,Pigeonpeas
18,19,9,25.82,87.41,6.2,112.17,Orange
75,51,41,24.05,74.78,6.34,145.46,Jute
34,65,21,22.73,53.65,6.21,123.03,Kidney Beans
15,67,18,17.75,67.32,6.24,142.47,Pigeonpeas
26,50,22,21.75,63.19,6.02,125.51,Kidney Beans
82,54,14,18.72,55.85,7.13,76.72,Maize
90,54,40,21.85,88.09,6.72,214.07,Rice
40,73,71,18.23,19.09,7.64,77.06,Chickpea
25,65,17,29.22,55.52,5.94,153.83,Pigeonpeas
33,59,25,22.94,62.77,5.77,116.27,Kidney Beans
127,51,21,25.0,82.07,7.44,76.58,Cotton
33,116,196,17.75,92.09,6.08,134.09,Apple
21,70,17,24.92,65.79,5.51,183.12,Pigeonpeas
96,17,29,24.35,63.95,6.75,168.59,Coffee
52,56,53,32.37,90.49,6.24,178.53,Papaya
20,17,11,19.46,91.91,6.96,110.4,Orange
22,14,12,22.65,92.64,6.41,111.92,Orange
28,54,22,18.49,56.24,5.26,112.48,Kidney Beans
112,19,53,30.74,90.08,6.73,26.38,Muskmelon
68,36,37,21.73,78.3,6.9,158.97,Jute
116,42,17,24.25,83.22,7.17,74.04,Cotton
88,25,37,24.66,62.4,7.03,188.93,Coffee
39,60,89,18.76,10.48,7.64,74.65,Chickpea
100,27,27,23.3,59.29,7.03,170.56,Coffee
115,13,51,29.13,87.4,6.55,42.25,Watermelon
37,67,76,21.9,17.98,7.42,86.22,Chickpea
104,22,51,31.33,91.46,6.59,29.02,Muskmelon
60,65,46,37.54,91.1,6.33,156.56,Papaya
85,16,52,26.91,90.41,6.86,47.72,Watermelon
71,58,19,27.65,74.13,7.0,78.53,Maize
14,22,9,24.81,96.2,6.32,103.21,Orange
22,145,205,25.66,91.42,5.47,86.88,Apple
96,52,36,26.41,83.65,6.83,287.42,Rice
42,61,73,21.25,13.43,7.96,70.99,Chickpea
43,77,92,18.28,13.02,7.13,82.6,Chickpea
24,65,16,20.25,59.75,6.49,103.32,Kidney Beans
19,69,22,19.26,62.91,5.78,111.92,Kidney Beans
18,15,12,18.39,93.69,7.07,99.44,Orange
95,49,38,24.82,77.0,6.87,235.38,Rice
111,15,51,26.59,86.49,6.42,60.25,Watermelon
19,67,23,17.86,60.92,5.98,120.19,Kidney Beans
84,44,35,22.62,77.21,7.29,240.88,Rice
46,63,55,40.58,94.87,6.68,142.19,Papaya
127,49,23,26.04,80.13,6.68,79.03,Cotton
22,124,191,22.87,91.33,5.5,120.74,Apple
29,23,37,27.58,95.1,6.26,196.11,Coconut
42,59,52,33.18,93.76,6.78,196.65,Papaya
30,61,22,20.52,61.62,5.36,121.28,Kidney Beans
16,62,21,22.12,57.45,5.71,82.68,Kidney Beans
20,22,15,25.19,91.75,7.35,83.7,Orange
97,19,56,27.84,92.64,6.37,31.19,Muskmelon
48,54,66,34.73,89.45,6.96,175.38,Papaya
51,60,42,35.67,93.9,6.9,178.93,Papaya
98,37,35,25.29,84.06,6.71,300.0,Rice
61,59,42,32.54,87.54,6.36,167.78,Papaya
22,16,20,27.94,100.0,6.14,193.4,Coconut
27,77,22,22.97,60.42,6.12,126.15,Kidney Beans
29,63,19,27.78,57.37,5.91,175.68,Pigeonpeas
100,20,48,26.54,78.96,6.29,44.58,Watermelon
95,52,45,25.63,80.74,6.8,220.68,Rice
19,63,21,33.79,55.84,6.2,122.2,Pigeonpeas
19,53,21,33.0,46.16,5.57,156.58,Pigeonpeas
95,10,52,28.5,92.1,6.21,24.83,Muskmelon
91,43,17,24.49,77.31,7.12,57.69,Cotton
28,124,199,21.33,92.77,5.66,130.02,Apple
80,51,42,24.88,73.19,6.38,178.38,Jute
22,67,19,15.4,49.4,5.52,126.87,Kidney Beans
24,60,24,29.1,59.12,6.39,127.77,Pigeonpeas
70,45,43,22.58,83.24,6.36,166.31,Jute
24,67,20,19.94,57.15,5.8,97.24,Kidney Beans
83,42,39,22.19,79.57,7.14,187.34,Jute
69,46,18,23.44,65.34,6.76,83.94,Maize
23,145,200,20.19,93.68,5.88,100.31,Apple
78,54,25,20.32,68.58,6.85,80.54,Maize
50,72,78,20.39,16.0,7.77,83.7,Chickpea
100,31,24,24.56,65.05,6.33,179.02,Coffee
20,21,21,29.36,98.16,6.03,175.01,Coconut
32,44,81,22.6,20.72,7.38,75.08,Chickpea
116,39,19,27.41,72.36,6.38,81.52,Cotton
21,19,11,22.93,93.53,6.48,126.79,Orange
89,48,36,29.36,80.78,6.64,192.35,Jute
86,52,40,21.31,79.14,6.77,221.74,Rice
100,33,35,23.5,52.16,6.79,180.87,Coffee
51,70,42,35.18,89.59,6.55,143.94,Papaya
37,68,85,16.11,10.11,7.08,67.79,Chickpea
13,65,14,30.63,42.61,5.81,108.44,Pigeonpeas
103,25,30,22.07,53.15,6.91,167.32,Coffee
82,44,36,25.68,77.82,7.43,152.15,Jute
11,19,40,26.29,94.32,6.09,167.71,Coconut
44,79,55,37.31,93.48,6.22,167.9,Papaya
106,24,51,25.61,77.09,6.51,50.57,Watermelon
80,59,27,22.63,61.39,6.73,70.02,Maize
97,53,20,27.4,74.52,5.53,83.35,Cotton
116,45,21,22.01,86.4,6.53,88.66,Cotton
108,14,50,25.33,84.46,6.13,46.7,Watermelon
101,46,13,27.74,74.57,7.3,91.35,Cotton
37,67,83,18.03,14.97,7.31,69.13,Chickpea
60,45,45,23.21,78.45,6.63,122.81,Jute
73,44,24,23.12,72.49,6.16,89.18,Maize
88,46,38,27.14,78.42,6.43,229.01,Rice
100,47,36,27.88,82.46,6.97,241.69,Rice
99,38,29,24.96,59.59,7.13,214.2,Coffee
92,40,33,22.38,77.67,7.17,262.04,Rice
47,70,39,27.79,92.27,6.57,160.15,Papaya
107,47,23,20.62,87.67,7.25,74.48,Cotton
19,19,11,24.68,92.71,6.32,98.74,Orange
62,61,50,38.91,87.71,6.31,127.68,Papaya
63,47,16,20.69,66.08,7.2,98.77,Maize
94,22,56,24.02,83.04,6.34,71.06,Watermelon
23,129,205,23.02,91.44,6.42,112.45,Apple
16,19,22,27.08,90.73,6.14,159.66,Coconut
69,39,17,23.86,66.46,6.38,90.28,Maize
119,45,16,22.84,69.89,6.76,72.82,Cotton
87,19,44,25.44,83.51,6.58,45.58,Watermelon
13,21,10,24.82,92.19,7.03,100.23,Orange
39,56,73,16.99,17.62,7.33,72.78,Chickpea
20,79,23,20.41,65.68,5.37,107.63,Kidney Beans
95,44,42,22.49,82.35,6.44,269.19,Rice
88,28,23,26.39,65.58,6.28,201.68,Coffee
34,62,48,34.95,93.75,7.09,129.86,Papaya
14,71,21,22.27,79.63,5.07,145.87,Kidney Beans
104,42,18,20.93,80.24,6.7,59.93,Cotton
96,43,30,22.19,61.33,6.96,208.47,Coffee
12,13,37,26.45,92.98,5.62,167.79,Coconut
91,47,47,22.28,78.23,6.58,172.94,Jute
99,31,34,26.28,63.29,7.16,144.62,Coffee
11,22,5,23.74,94.66,6.22,98.91,Orange
34,69,16,22.22,52.26,6.02,112.93,Kidney Beans
84,30,33,25.75,62.84,7.15,164.21,Coffee
95,20,46,26.45,84.6,6.56,46.32,Watermelon
87,60,19,21.61,56.72,6.13,84.5,Maize
21,145,203,22.22,91.25,6.09,118.36,Apple
16,17,11,22.54,93.3,7.51,103.91,Orange
45,66,73,14.7,14.84,7.22,70.13,Chickpea
22,84,16,32.41,61.88,5.41,170.14,Pigeonpeas
20,60,25,34.64,55.94,6.21,153.51,Pigeonpeas
109,18,48,27.13,86.09,6.81,60.33,Watermelon
21,67,21,19.14,59.09,5.85,145.55,Pigeonpeas
41,72,84,19.15,19.23,7.49,67.62,Chickpea
89,12,49,27.68,94.55,6.63,28.03,Muskmelon
